         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Tue Dec 08 20:14:25 2015


                     Ending simulation time:      3675.910
                     Elapsed simulation time:     3675.910
                     CPU time used (seconds):      509.218


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
rSwitch2     fcfs       0.05000  0.099    1.97992    0.13002    0.06567     7278
   > server  0          0.05000  0.024    0.47417                           1743
   > server  1          0.05000  0.013    0.26823                            986
   > server  2          0.05000  0.009    0.18281                            672
   > server  3          0.05000  0.007    0.14092                            518
   > server  4          0.05000  0.006    0.11018                            405
   > server  5          0.05000  0.005    0.09331                            343
   > server  6          0.05000  0.004    0.08188                            301
   > server  7          0.05000  0.004    0.07264                            267
   > server  8          0.05000  0.003    0.06583                            242
   > server  9          0.05000  0.003    0.06230                            229
   > server 10          0.05000  0.003    0.05740                            211
   > server 11          0.05000  0.003    0.05332                            196
   > server 12          0.05000  0.002    0.04924                            181
   > server 13          0.05000  0.002    0.04679                            172
   > server 14          0.05000  0.002    0.04298                            158
   > server 15          0.05000  0.002    0.03972                            146
   > server 16          0.05000  0.002    0.03673                            135
   > server 17          0.05000  0.002    0.03509                            129
   > server 18          0.05000  0.002    0.03428                            126
   > server 19          0.05000  0.002    0.03210                            118
rSwitch3     fcfs       0.05000  0.083    1.65129    0.09086    0.05503     6070
   > server  0          0.05000  0.021    0.41405                           1522
   > server  1          0.05000  0.013    0.25844                            950
   > server  2          0.05000  0.009    0.18118                            666
   > server  3          0.05000  0.007    0.13357                            491
   > server  4          0.05000  0.005    0.10310                            379
   > server  5          0.05000  0.004    0.07998                            294
   > server  6          0.05000  0.003    0.06665                            245
   > server  7          0.05000  0.003    0.05631                            207
   > server  8          0.05000  0.003    0.05087                            187
   > server  9          0.05000  0.002    0.04543                            167
   > server 10          0.05000  0.002    0.03999                            147
   > server 11          0.05000  0.002    0.03564                            131
   > server 12          0.05000  0.002    0.03210                            118
   > server 13          0.05000  0.001    0.02884                            106
   > server 14          0.05000  0.001    0.02557                             94
   > server 15          0.05000  0.001    0.02421                             89
   > server 16          0.05000  0.001    0.02176                             80
   > server 17          0.05000  0.001    0.01904                             70
   > server 18          0.05000  0.001    0.01795                             66
   > server 19          0.05000  0.001    0.01659                             61
rSwitch4     fcfs       0.05000  0.079    1.58627    0.08660    0.05459     5831
   > server  0          0.05000  0.023    0.46818                           1721
   > server  1          0.05000  0.013    0.26306                            967
   > server  2          0.05000  0.008    0.16921                            622
   > server  3          0.05000  0.006    0.11535                            424
   > server  4          0.05000  0.004    0.08678                            319
   > server  5          0.05000  0.003    0.06964                            256
   > server  6          0.05000  0.003    0.05740                            211
   > server  7          0.05000  0.002    0.04978                            183
   > server  8          0.05000  0.002    0.04325                            159
   > server  9          0.05000  0.002    0.03781                            139
   > server 10          0.05000  0.002    0.03455                            127
   > server 11          0.05000  0.001    0.02965                            109
   > server 12          0.05000  0.001    0.02612                             96
   > server 13          0.05000  0.001    0.02503                             92
   > server 14          0.05000  0.001    0.02204                             81
   > server 15          0.05000  0.001    0.02122                             78
   > server 16          0.05000  0.001    0.02068                             76
   > server 17          0.05000  0.001    0.01768                             65
   > server 18          0.05000  0.001    0.01469                             54
   > server 19          0.05000  0.001    0.01415                             52
rSwitch5     fcfs       0.05000  0.092    1.84961    0.11737    0.06346     6799
   > server  0          0.05000  0.024    0.47090                           1731
   > server  1          0.05000  0.013    0.26850                            987
   > server  2          0.05000  0.009    0.17220                            633
   > server  3          0.05000  0.007    0.13629                            501
   > server  4          0.05000  0.005    0.10392                            382
   > server  5          0.05000  0.004    0.08678                            319
   > server  6          0.05000  0.004    0.07345                            270
   > server  7          0.05000  0.003    0.06420                            236
   > server  8          0.05000  0.003    0.05849                            215
   > server  9          0.05000  0.003    0.05386                            198
   > server 10          0.05000  0.002    0.04951                            182
   > server 11          0.05000  0.002    0.04598                            169
   > server 12          0.05000  0.002    0.04325                            159
   > server 13          0.05000  0.002    0.03836                            141
   > server 14          0.05000  0.002    0.03509                            129
   > server 15          0.05000  0.002    0.03264                            120
   > server 16          0.05000  0.002    0.03101                            114
   > server 17          0.05000  0.001    0.02965                            109
   > server 18          0.05000  0.001    0.02829                            104
   > server 19          0.05000  0.001    0.02720                            100
rSwitch6     fcfs       0.05000  0.077    1.54248    0.08198    0.05315     5670
   > server  0          0.05000  0.022    0.43255                           1590
   > server  1          0.05000  0.012    0.24674                            907
   > server  2          0.05000  0.008    0.16513                            607
   > server  3          0.05000  0.006    0.11807                            434
   > server  4          0.05000  0.005    0.09141                            336
   > server  5          0.05000  0.004    0.07508                            276
   > server  6          0.05000  0.003    0.06284                            231
   > server  7          0.05000  0.003    0.05087                            187
   > server  8          0.05000  0.002    0.04598                            169
   > server  9          0.05000  0.002    0.03781                            139
   > server 10          0.05000  0.002    0.03292                            121
   > server 11          0.05000  0.001    0.02992                            110
   > server 12          0.05000  0.001    0.02693                             99
   > server 13          0.05000  0.001    0.02503                             92
   > server 14          0.05000  0.001    0.02258                             83
   > server 15          0.05000  0.001    0.01986                             73
   > server 16          0.05000  0.001    0.01714                             63
   > server 17          0.05000  0.001    0.01551                             57
   > server 18          0.05000  0.001    0.01333                             49
   > server 19          0.05000  0.001    0.01279                             47
rSwitch7     fcfs       0.05000  0.085    1.70407    0.09169    0.05380     6264
   > server  0          0.05000  0.025    0.49321                           1813
   > server  1          0.05000  0.014    0.27939                           1027
   > server  2          0.05000  0.009    0.18472                            679
   > server  3          0.05000  0.007    0.13004                            478
   > server  4          0.05000  0.005    0.09712                            357
   > server  5          0.05000  0.004    0.07753                            285
   > server  6          0.05000  0.003    0.06502                            239
   > server  7          0.05000  0.003    0.05386                            198
   > server  8          0.05000  0.002    0.04761                            175
   > server  9          0.05000  0.002    0.04189                            154
   > server 10          0.05000  0.002    0.03618                            133
   > server 11          0.05000  0.002    0.03237                            119
   > server 12          0.05000  0.001    0.02884                            106
   > server 13          0.05000  0.001    0.02639                             97
   > server 14          0.05000  0.001    0.02231                             82
   > server 15          0.05000  0.001    0.02149                             79
   > server 16          0.05000  0.001    0.01850                             68
   > server 17          0.05000  0.001    0.01659                             61
   > server 18          0.05000  0.001    0.01605                             59
   > server 19          0.05000  0.001    0.01496                             55
rSwitch8     fcfs       0.05000  0.067    1.33736    0.07296    0.05456     4916
   > server  0          0.05000  0.022    0.43091                           1584
   > server  1          0.05000  0.011    0.21845                            803
   > server  2          0.05000  0.007    0.14663                            539
   > server  3          0.05000  0.005    0.10582                            389
   > server  4          0.05000  0.004    0.07916                            291
   > server  5          0.05000  0.003    0.06012                            221
   > server  6          0.05000  0.003    0.05006                            184
   > server  7          0.05000  0.002    0.03809                            140
   > server  8          0.05000  0.002    0.03210                            118
   > server  9          0.05000  0.001    0.02748                            101
   > server 10          0.05000  0.001    0.02367                             87
   > server 11          0.05000  0.001    0.02176                             80
   > server 12          0.05000  0.001    0.01741                             64
   > server 13          0.05000  0.001    0.01551                             57
   > server 14          0.05000  0.001    0.01442                             53
   > server 15          0.05000  0.001    0.01224                             45
   > server 16          0.05000  0.001    0.01143                             42
   > server 17          0.05000  0.001    0.01088                             40
   > server 18          0.05000  0.001    0.01061                             39
   > server 19          0.05000  0.001    0.01061                             39
rSwitch9     fcfs       0.05000  0.079    1.57648    0.08341    0.05291     5795
   > server  0          0.05000  0.024    0.48614                           1787
   > server  1          0.05000  0.013    0.26606                            978
   > server  2          0.05000  0.008    0.16975                            624
   > server  3          0.05000  0.006    0.11779                            433
   > server  4          0.05000  0.004    0.08787                            323
   > server  5          0.05000  0.003    0.06774                            249
   > server  6          0.05000  0.003    0.05495                            202
   > server  7          0.05000  0.002    0.04652                            171
   > server  8          0.05000  0.002    0.03999                            147
   > server  9          0.05000  0.002    0.03618                            133
   > server 10          0.05000  0.002    0.03183                            117
   > server 11          0.05000  0.001    0.02829                            104
   > server 12          0.05000  0.001    0.02530                             93
   > server 13          0.05000  0.001    0.02340                             86
   > server 14          0.05000  0.001    0.02122                             78
   > server 15          0.05000  0.001    0.01986                             73
   > server 16          0.05000  0.001    0.01659                             61
   > server 17          0.05000  0.001    0.01415                             52
   > server 18          0.05000  0.001    0.01197                             44
   > server 19          0.05000  0.001    0.01088                             40
rSwitch10    fcfs       0.05000  0.097    1.93884    0.13790    0.07113     7127
   > server  0          0.05000  0.025    0.50627                           1861
   > server  1          0.05000  0.014    0.27204                           1000
   > server  2          0.05000  0.009    0.18608                            684
   > server  3          0.05000  0.007    0.13548                            498
   > server  4          0.05000  0.005    0.10555                            388
   > server  5          0.05000  0.004    0.08488                            312
   > server  6          0.05000  0.004    0.07182                            264
   > server  7          0.05000  0.003    0.06529                            240
   > server  8          0.05000  0.003    0.05903                            217
   > server  9          0.05000  0.003    0.05495                            202
   > server 10          0.05000  0.003    0.05142                            189
   > server 11          0.05000  0.002    0.04706                            173
   > server 12          0.05000  0.002    0.04461                            164
   > server 13          0.05000  0.002    0.04217                            155
   > server 14          0.05000  0.002    0.03917                            144
   > server 15          0.05000  0.002    0.03781                            139
   > server 16          0.05000  0.002    0.03618                            133
   > server 17          0.05000  0.002    0.03455                            127
   > server 18          0.05000  0.002    0.03346                            123
   > server 19          0.05000  0.002    0.03101                            114
rSwitch11    fcfs       0.05000  0.098    1.95979    0.14098    0.07194     7204
   > server  0          0.05000  0.023    0.45839                           1685
   > server  1          0.05000  0.013    0.26470                            973
   > server  2          0.05000  0.009    0.18444                            678
   > server  3          0.05000  0.007    0.13765                            506
   > server  4          0.05000  0.006    0.11208                            412
   > server  5          0.05000  0.005    0.09358                            344
   > server  6          0.05000  0.004    0.08025                            295
   > server  7          0.05000  0.003    0.06991                            257
   > server  8          0.05000  0.003    0.06230                            229
   > server  9          0.05000  0.003    0.05631                            207
   > server 10          0.05000  0.003    0.05305                            195
   > server 11          0.05000  0.003    0.05087                            187
   > server 12          0.05000  0.002    0.04897                            180
   > server 13          0.05000  0.002    0.04625                            170
   > server 14          0.05000  0.002    0.04380                            161
   > server 15          0.05000  0.002    0.04271                            157
   > server 16          0.05000  0.002    0.04135                            152
   > server 17          0.05000  0.002    0.03945                            145
   > server 18          0.05000  0.002    0.03809                            140
   > server 19          0.05000  0.002    0.03564                            131
rSwitch12    fcfs       0.05000  0.078    1.56043    0.08220    0.05268     5736
   > server  0          0.05000  0.023    0.46247                           1700
   > server  1          0.05000  0.013    0.26361                            969
   > server  2          0.05000  0.008    0.16540                            608
   > server  3          0.05000  0.006    0.11698                            430
   > server  4          0.05000  0.005    0.09249                            340
   > server  5          0.05000  0.004    0.07073                            260
   > server  6          0.05000  0.003    0.05903                            217
   > server  7          0.05000  0.002    0.04951                            182
   > server  8          0.05000  0.002    0.04244                            156
   > server  9          0.05000  0.002    0.03700                            136
   > server 10          0.05000  0.002    0.03210                            118
   > server 11          0.05000  0.001    0.02911                            107
   > server 12          0.05000  0.001    0.02503                             92
   > server 13          0.05000  0.001    0.02367                             87
   > server 14          0.05000  0.001    0.02176                             80
   > server 15          0.05000  0.001    0.01823                             67
   > server 16          0.05000  0.001    0.01578                             58
   > server 17          0.05000  0.001    0.01306                             48
   > server 18          0.05000  0.001    0.01197                             44
   > server 19          0.05000  0.001    0.01007                             37
rSwitch13    fcfs       0.05000  0.089    1.78242    0.10637    0.05968     6552
   > server  0          0.05000  0.022    0.44261                           1627
   > server  1          0.05000  0.012    0.24239                            891
   > server  2          0.05000  0.008    0.16676                            613
   > server  3          0.05000  0.006    0.12514                            460
   > server  4          0.05000  0.005    0.10066                            370
   > server  5          0.05000  0.004    0.08515                            313
   > server  6          0.05000  0.004    0.07454                            274
   > server  7          0.05000  0.003    0.06638                            244
   > server  8          0.05000  0.003    0.06230                            229
   > server  9          0.05000  0.003    0.05550                            204
   > server 10          0.05000  0.003    0.05060                            186
   > server 11          0.05000  0.002    0.04679                            172
   > server 12          0.05000  0.002    0.04162                            153
   > server 13          0.05000  0.002    0.03809                            140
   > server 14          0.05000  0.002    0.03591                            132
   > server 15          0.05000  0.002    0.03292                            121
   > server 16          0.05000  0.002    0.03128                            115
   > server 17          0.05000  0.001    0.02965                            109
   > server 18          0.05000  0.001    0.02802                            103
   > server 19          0.05000  0.001    0.02612                             96
rSwitch14    fcfs       0.05000  0.082    1.64667    0.09183    0.05577     6053
   > server  0          0.05000  0.024    0.47879                           1760
   > server  1          0.05000  0.014    0.27340                           1005
   > server  2          0.05000  0.009    0.18118                            666
   > server  3          0.05000  0.006    0.12677                            466
   > server  4          0.05000  0.005    0.09413                            346
   > server  5          0.05000  0.004    0.07481                            275
   > server  6          0.05000  0.003    0.06012                            221
   > server  7          0.05000  0.003    0.05087                            187
   > server  8          0.05000  0.002    0.04380                            161
   > server  9          0.05000  0.002    0.03781                            139
   > server 10          0.05000  0.002    0.03455                            127
   > server 11          0.05000  0.001    0.02938                            108
   > server 12          0.05000  0.001    0.02693                             99
   > server 13          0.05000  0.001    0.02612                             96
   > server 14          0.05000  0.001    0.02340                             86
   > server 15          0.05000  0.001    0.02040                             75
   > server 16          0.05000  0.001    0.01850                             68
   > server 17          0.05000  0.001    0.01605                             59
   > server 18          0.05000  0.001    0.01578                             58
   > server 19          0.05000  0.001    0.01387                             51
rSwitch15    fcfs       0.05000  0.080    1.60559    0.08689    0.05412     5902
   > server  0          0.05000  0.023    0.46138                           1696
   > server  1          0.05000  0.013    0.25681                            944
   > server  2          0.05000  0.008    0.16567                            609
   > server  3          0.05000  0.006    0.12106                            445
   > server  4          0.05000  0.005    0.09168                            337
   > server  5          0.05000  0.004    0.07454                            274
   > server  6          0.05000  0.003    0.06121                            225
   > server  7          0.05000  0.003    0.05223                            192
   > server  8          0.05000  0.002    0.04543                            167
   > server  9          0.05000  0.002    0.03945                            145
   > server 10          0.05000  0.002    0.03537                            130
   > server 11          0.05000  0.002    0.03183                            117
   > server 12          0.05000  0.002    0.03020                            111
   > server 13          0.05000  0.001    0.02802                            103
   > server 14          0.05000  0.001    0.02448                             90
   > server 15          0.05000  0.001    0.02149                             79
   > server 16          0.05000  0.001    0.01823                             67
   > server 17          0.05000  0.001    0.01659                             61
   > server 18          0.05000  0.001    0.01551                             57
   > server 19          0.05000  0.001    0.01442                             53
rSwitch16    fcfs       0.05000  0.075    1.49460    0.07929    0.05305     5494
   > server  0          0.05000  0.023    0.46982                           1727
   > server  1          0.05000  0.013    0.25790                            948
   > server  2          0.05000  0.008    0.16676                            613
   > server  3          0.05000  0.006    0.11698                            430
   > server  4          0.05000  0.004    0.08352                            307
   > server  5          0.05000  0.003    0.06366                            234
   > server  6          0.05000  0.003    0.05278                            194
   > server  7          0.05000  0.002    0.04353                            160
   > server  8          0.05000  0.002    0.03700                            136
   > server  9          0.05000  0.002    0.03292                            121
   > server 10          0.05000  0.001    0.02938                            108
   > server 11          0.05000  0.001    0.02476                             91
   > server 12          0.05000  0.001    0.02149                             79
   > server 13          0.05000  0.001    0.01823                             67
   > server 14          0.05000  0.001    0.01632                             60
   > server 15          0.05000  0.001    0.01387                             51
   > server 16          0.05000  0.001    0.01197                             44
   > server 17          0.05000  0.001    0.01197                             44
   > server 18          0.05000  0.001    0.01170                             43
   > server 19          0.05000  0.001    0.01007                             37
rSwitch17    fcfs       0.05000  0.073    1.46277    0.08052    0.05505     5377
   > server  0          0.05000  0.022    0.43146                           1586
   > server  1          0.05000  0.012    0.23722                            872
   > server  2          0.05000  0.008    0.15071                            554
   > server  3          0.05000  0.005    0.10610                            390
   > server  4          0.05000  0.004    0.08515                            313
   > server  5          0.05000  0.003    0.06801                            250
   > server  6          0.05000  0.003    0.05550                            204
   > server  7          0.05000  0.002    0.04897                            180
   > server  8          0.05000  0.002    0.04135                            152
   > server  9          0.05000  0.002    0.03645                            134
   > server 10          0.05000  0.002    0.03264                            120
   > server 11          0.05000  0.001    0.02802                            103
   > server 12          0.05000  0.001    0.02476                             91
   > server 13          0.05000  0.001    0.02149                             79
   > server 14          0.05000  0.001    0.01877                             69
   > server 15          0.05000  0.001    0.01714                             63
   > server 16          0.05000  0.001    0.01578                             58
   > server 17          0.05000  0.001    0.01496                             55
   > server 18          0.05000  0.001    0.01442                             53
   > server 19          0.05000  0.001    0.01387                             51
rSwitch18    fcfs       0.05000  0.105    2.09472    0.14161    0.06760     7700
   > server  0          0.05000  0.024    0.47172                           1734
   > server  1          0.05000  0.014    0.28102                           1033
   > server  2          0.05000  0.010    0.20158                            741
   > server  3          0.05000  0.008    0.15316                            563
   > server  4          0.05000  0.006    0.12568                            462
   > server  5          0.05000  0.005    0.10147                            373
   > server  6          0.05000  0.004    0.08624                            317
   > server  7          0.05000  0.004    0.07644                            281
   > server  8          0.05000  0.004    0.07100                            261
   > server  9          0.05000  0.003    0.06719                            247
   > server 10          0.05000  0.003    0.06311                            232
   > server 11          0.05000  0.003    0.05767                            212
   > server 12          0.05000  0.003    0.05414                            199
   > server 13          0.05000  0.003    0.05033                            185
   > server 14          0.05000  0.002    0.04652                            171
   > server 15          0.05000  0.002    0.04298                            158
   > server 16          0.05000  0.002    0.03945                            145
   > server 17          0.05000  0.002    0.03727                            137
   > server 18          0.05000  0.002    0.03482                            128
   > server 19          0.05000  0.002    0.03292                            121
rSwitch19    fcfs       0.05000  0.079    1.57240    0.08446    0.05371     5780
   > server  0          0.05000  0.023    0.46601                           1713
   > server  1          0.05000  0.013    0.25980                            955
   > server  2          0.05000  0.009    0.17193                            632
   > server  3          0.05000  0.006    0.12160                            447
   > server  4          0.05000  0.005    0.09141                            336
   > server  5          0.05000  0.003    0.06964                            256
   > server  6          0.05000  0.003    0.05631                            207
   > server  7          0.05000  0.002    0.04679                            172
   > server  8          0.05000  0.002    0.04189                            154
   > server  9          0.05000  0.002    0.03645                            134
   > server 10          0.05000  0.002    0.03237                            119
   > server 11          0.05000  0.001    0.02965                            109
   > server 12          0.05000  0.001    0.02639                             97
   > server 13          0.05000  0.001    0.02421                             89
   > server 14          0.05000  0.001    0.02040                             75
   > server 15          0.05000  0.001    0.01823                             67
   > server 16          0.05000  0.001    0.01632                             60
   > server 17          0.05000  0.001    0.01523                             56
   > server 18          0.05000  0.001    0.01469                             54
   > server 19          0.05000  0.001    0.01306                             48
rSwitch21    fcfs       0.05000  0.028    0.55279    0.02813    0.05088     2032
   > server  0          0.05000  0.008    0.15017                            552
   > server  1          0.05000  0.005    0.10011                            368
   > server  2          0.05000  0.003    0.06937                            255
   > server  3          0.05000  0.003    0.05169                            190
   > server  4          0.05000  0.002    0.03945                            145
   > server  5          0.05000  0.002    0.03047                            112
   > server  6          0.05000  0.001    0.02421                             89
   > server  7          0.05000  0.001    0.01986                             73
   > server  8          0.05000  0.001    0.01387                             51
   > server  9          0.05000  0.001    0.01034                             38
   > server 10          0.05000  0.000    0.00925                             34
   > server 11          0.05000  0.000    0.00735                             27
   > server 12          0.05000  0.000    0.00571                             21
   > server 13          0.05000  0.000    0.00435                             16
   > server 14          0.05000  0.000    0.00381                             14
   > server 15          0.05000  0.000    0.00354                             13
   > server 16          0.05000  0.000    0.00299                             11
   > server 17          0.05000  0.000    0.00245                              9
   > server 18          0.05000  0.000    0.00218                              8
   > server 19          0.05000  0.000    0.00163                              6
rSwitch24    fcfs       0.05000  0.029    0.58162    0.03071    0.05281     2138
   > server  0          0.05000  0.007    0.14146                            520
   > server  1          0.05000  0.005    0.09413                            346
   > server  2          0.05000  0.003    0.06638                            244
   > server  3          0.05000  0.003    0.05468                            201
   > server  4          0.05000  0.002    0.04353                            160
   > server  5          0.05000  0.002    0.03537                            130
   > server  6          0.05000  0.001    0.02884                            106
   > server  7          0.05000  0.001    0.02258                             83
   > server  8          0.05000  0.001    0.01850                             68
   > server  9          0.05000  0.001    0.01442                             53
   > server 10          0.05000  0.001    0.01143                             42
   > server 11          0.05000  0.000    0.00952                             35
   > server 12          0.05000  0.000    0.00789                             29
   > server 13          0.05000  0.000    0.00707                             26
   > server 14          0.05000  0.000    0.00626                             23
   > server 15          0.05000  0.000    0.00517                             19
   > server 16          0.05000  0.000    0.00408                             15
   > server 17          0.05000  0.000    0.00381                             14
   > server 18          0.05000  0.000    0.00326                             12
   > server 19          0.05000  0.000    0.00326                             12
rSwitch25    fcfs       0.05000  0.006    0.11589    0.00579    0.05000      426
   > server  0          0.05000  0.003    0.06719                            247
   > server  1          0.05000  0.001    0.02775                            102
   > server  2          0.05000  0.000    0.00898                             33
   > server  3          0.05000  0.000    0.00381                             14
   > server  4          0.05000  0.000    0.00218                              8
   > server  5          0.05000  0.000    0.00109                              4
   > server  6          0.05000  0.000    0.00082                              3
   > server  7          0.05000  0.000    0.00082                              3
   > server  8          0.05000  0.000    0.00082                              3
   > server  9          0.05000  0.000    0.00054                              2
   > server 10          0.05000  0.000    0.00054                              2
   > server 11          0.05000  0.000    0.00054                              2
   > server 12          0.05000  0.000    0.00027                              1
   > server 13          0.05000  0.000    0.00027                              1
   > server 14          0.05000  0.000    0.00027                              1
rSwitch26    fcfs       0.05000  0.027    0.54735    0.02828    0.05166     2012
   > server  0          0.05000  0.007    0.14418                            530
   > server  1          0.05000  0.005    0.09521                            350
   > server  2          0.05000  0.003    0.06883                            253
   > server  3          0.05000  0.003    0.05278                            194
   > server  4          0.05000  0.002    0.03972                            146
   > server  5          0.05000  0.002    0.03074                            113
   > server  6          0.05000  0.001    0.02476                             91
   > server  7          0.05000  0.001    0.02176                             80
   > server  8          0.05000  0.001    0.01714                             63
   > server  9          0.05000  0.001    0.01251                             46
   > server 10          0.05000  0.000    0.00816                             30
   > server 11          0.05000  0.000    0.00653                             24
   > server 12          0.05000  0.000    0.00598                             22
   > server 13          0.05000  0.000    0.00435                             16
   > server 14          0.05000  0.000    0.00381                             14
   > server 15          0.05000  0.000    0.00272                             10
   > server 16          0.05000  0.000    0.00245                              9
   > server 17          0.05000  0.000    0.00190                              7
   > server 18          0.05000  0.000    0.00190                              7
   > server 19          0.05000  0.000    0.00190                              7
rSwitch28    fcfs       0.05000  0.023    0.46519    0.02326    0.05000     1710
   > server  0          0.05000  0.007    0.13765                            506
   > server  1          0.05000  0.004    0.08923                            328
   > server  2          0.05000  0.003    0.06311                            232
   > server  3          0.05000  0.002    0.04598                            169
   > server  4          0.05000  0.002    0.03455                            127
   > server  5          0.05000  0.001    0.02884                            106
   > server  6          0.05000  0.001    0.02122                             78
   > server  7          0.05000  0.001    0.01442                             53
   > server  8          0.05000  0.001    0.01143                             42
   > server  9          0.05000  0.000    0.00843                             31
   > server 10          0.05000  0.000    0.00517                             19
   > server 11          0.05000  0.000    0.00272                             10
   > server 12          0.05000  0.000    0.00163                              6
   > server 13          0.05000  0.000    0.00082                              3
rSwitch29    fcfs       0.05000  0.028    0.55714    0.02892    0.05190     2048
   > server  0          0.05000  0.007    0.14554                            535
   > server  1          0.05000  0.005    0.09385                            345
   > server  2          0.05000  0.004    0.07046                            259
   > server  3          0.05000  0.003    0.05359                            197
   > server  4          0.05000  0.002    0.04053                            149
   > server  5          0.05000  0.002    0.03346                            123
   > server  6          0.05000  0.001    0.02666                             98
   > server  7          0.05000  0.001    0.02122                             78
   > server  8          0.05000  0.001    0.01605                             59
   > server  9          0.05000  0.001    0.01143                             42
   > server 10          0.05000  0.000    0.00843                             31
   > server 11          0.05000  0.000    0.00626                             23
   > server 12          0.05000  0.000    0.00517                             19
   > server 13          0.05000  0.000    0.00462                             17
   > server 14          0.05000  0.000    0.00435                             16
   > server 15          0.05000  0.000    0.00408                             15
   > server 16          0.05000  0.000    0.00326                             12
   > server 17          0.05000  0.000    0.00299                             11
   > server 18          0.05000  0.000    0.00272                             10
   > server 19          0.05000  0.000    0.00245                              9
rSwitch34    fcfs       0.05000  0.031    0.62978    0.03582    0.05688     2315
   > server  0          0.05000  0.007    0.13765                            506
   > server  1          0.05000  0.005    0.09712                            357
   > server  2          0.05000  0.004    0.07100                            261
   > server  3          0.05000  0.003    0.05604                            206
   > server  4          0.05000  0.002    0.04679                            172
   > server  5          0.05000  0.002    0.03754                            138
   > server  6          0.05000  0.001    0.02992                            110
   > server  7          0.05000  0.001    0.02612                             96
   > server  8          0.05000  0.001    0.02122                             78
   > server  9          0.05000  0.001    0.01795                             66
   > server 10          0.05000  0.001    0.01578                             58
   > server 11          0.05000  0.001    0.01333                             49
   > server 12          0.05000  0.001    0.01143                             42
   > server 13          0.05000  0.001    0.01007                             37
   > server 14          0.05000  0.000    0.00789                             29
   > server 15          0.05000  0.000    0.00680                             25
   > server 16          0.05000  0.000    0.00598                             22
